run_id,algorithm,measure,cluster_count,a2a_to_acdc,cvg_to_acdc,output_rsf
66,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_25,80.05192557,0.24,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_25_clusters.rsf
67,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_294,78.10077519,0.085034014,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_294_clusters.rsf
68,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_30,81.95164076,0.2,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_30_clusters.rsf
69,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_344,75.81749049,0.069767442,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_344_clusters.rsf
70,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_394,73.99253731,0.058375635,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_394_clusters.rsf
71,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_40,83.27601032,0.2,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_40_clusters.rsf
72,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_444,71.9047619,0.051801802,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_444_clusters.rsf
73,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_494,69.10071942,0.04048583,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_494_clusters.rsf
74,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_50,83.94691781,0.14,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_50_clusters.rsf
75,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_55,84.49380607,0.127272727,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_55_clusters.rsf
76,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_60,84.82523444,0.116666667,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_60_clusters.rsf
77,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_75,85.59932232,0.12,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_75_clusters.rsf
78,WCA_vs_LIMBO,UEMNM_vs_IL,110_vs_94,86.51260504,0.138297872,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_IL_94_clusters.rsf
79,WCA_vs_LIMBO,UEMNM_vs_UEMNM,110_vs_50,77.26883562,0.98,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_LIMBO_UEMNM_50_clusters.rsf
80,WCA_vs_LIMBO,UEMNM_vs_UEM,110_vs_50,77.26883562,0.98,mapreduceclientcore-1_UEMNM_110_clusters.rsf | mapreduceclientcore-1_LIMBO_UEM_50_clusters.rsf
